Location,Batch_no,Tin_no,Sample_ID,Lab_dupe,Collection_date,TSS_Analysis_date,Dirty_weight_date,volume_mL,clean_dry_mass_g,dirty_dry_mass_1-g,dirty_dry_mass_2_g,sediment_mass_mg,TSS_mg/L,pH,EC_mS/cm,pH_EC_datetime,Sample_type,Lab_technicians,Out_of_Hold_Time,BAD_GOOD,Notes,,,,
,1,38,Stock Solution,,5/9/2023,5/9/2023,5/10/2023,30,1.1969,1.1999,,3,100,,,#N/A,,Person A,FALSE,Good,,,,,
,1,39,DI,,5/9/2023,5/9/2023,5/10/2023,30,1.2009,1.2008,,-0.1,-3.333333333,,,#N/A,,Person A,FALSE,,,,,,
Gunnison,1,40,GU-RVin-01-GB-4,FALSE,4/30/2023,5/9/2023,5/10/2023,30,1.2031,1.2041,,1,33.33333333,7.25,0.218,5/1/23 10:11,,Person A,TRUE,,"ph, EC collected by AJ",,,,
Gunnison,1,41,GU-RVin-01-GB-4-D,FALSE,4/30/2023,5/9/2023,5/10/2023,30,1.2314,1.2319,,0.5,16.66666667,7.33,0.222,5/1/23 10:11,,Person A,TRUE,,"ph, EC collected by AJ",,,,
Steamboat,1,42,SB-01-OT-GB-4,FALSE,5/4/2023,5/9/2023,5/10/2023,30,1.2368,1.2374,,0.6,20,8.08,0.204,5/5/23 9:00,,Person A,FALSE,,,,,,
Steamboat,1,43,UYM-01-IN-GB-4,FALSE,5/4/2023,5/9/2023,5/10/2023,30,1.2141,1.2178,,3.7,123.3333333,7.88,0.203,5/5/23 9:00,,Person A,FALSE,,,,,,
Steamboat,1,44,LG-01-OT-GB-4-D,FALSE,5/4/2023,5/9/2023,5/10/2023,30,1.2136,1.2139,,0.3,10,6.88,0.079,5/10/23 12:00,,Person A,FALSE,,EC OUT OF RANGE (SUSPECTED ON LOW END),,,,
Steamboat,1,45,LG-01-OT-GB-4,FALSE,5/4/2023,5/9/2023,5/10/2023,30,1.1978,1.1979,,0.1,3.333333333,6.74,0.125,5/10/23 12:00,,Person A,FALSE,,EC OUT OF RANGE (SUSPECTED ON LOW END),,,,
Steamboat,2,10,MOR-01-GB-4,FALSE,5/4/2023,5/9/2023,5/10/2023,30,1.2062,1.2094,,3.2,106.6666667,7.74,0.076,5/10/23 12:00,,Person A,FALSE,,EC OUT OF RANGE (SUSPECTED ON LOW END),,,,
Steamboat,2,11,SCO-01-GB-4,FALSE,5/4/2023,5/9/2023,5/10/2023,30,1.2298,1.2301,,0.3,10,8.01,0.47,5/10/23 12:00,,Person A,FALSE,,,,,,
